,type,bedroom,bathroom,size(sqft),address,price,lat,long,url
4083,Appartement,4 1/2,1,Non,"128 boulevard Hymus, Pointe-Claire, QC, H9R 1E8",1 612,45.4675552,-73.8059991,https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/4-1-2-neuf-a-louer/1505842805
4084,Appartement,3 1/2,1,Non,"128 boulevard Hymus, Pointe-Claire, QC, H9R 1E8",1 460,45.4675552,-73.8059991,https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/3-1-2-a-louer/1505842802
4085,Appartement,5 1/2,2,1 400,"4278 Sherbrooke Street West, Westmount, QC, H3Z 1C7",2 260,45.4871038,-73.5933736,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/stunning-1400sqft-westmount-3-bed-2-bath-apt/1581371654
4086,Appartement,4 1/2,1,775,"1950 Bd René-Laennec, Laval, QC H7M 3K3, Canada",1 220,45.6074404,-73.7183035,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/septembre-grand-4-vimont-rene-laennec-secteur-cite-de-la/1581773243
4087,Appartement,3 1/2,1,608,"305 Rue de la Montagne, Montréal, QC H3C 0R6, Canada",1 675,45.6074404,-73.7183035,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/luminous-3-1-2-apartment-appartement-lumineux-au-griffintown/1581772845
4088,Appartement,3 1/2,1,800,"1495 Boul Henri-Bourassa E, Montréal, QC H2C 1H5, Canada",800,45.563928,-73.6619535,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-ahuntsic/1575834700
4089,Appartement,4 1/2,1,1 090,"4545 Walkley Avenue, Montreal, QC, H4B 2K8",1 595,45.4656171,-73.637544,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/fully-renovated-great-location-spacious-suites/1560155619
4090,Appartement,4 1/2,1,880,"Rue Sherbrooke E, Montréal, QC H2L 1L8, Canada",1 575,45.5222513,-73.5655686,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-5-pour-le-1er-octobre-avec-un-a-c-14000btu-neuf-a-donner/1579213363
4091,Appartement,3 1/2,1,700,"30 Bd Saint-Joseph E, Montréal, QC H2T 1G9, Canada",1 410,45.5225856,-73.5906415,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1410-month-3-1-2-newly-updated-apartment-available-immediately/1579902547
4092,Appartement, 1 ½ ou 2 ½,1.5,1,"3663 henri-bourassa est, montreal H1H5M3 QC",635,45.5911652,-73.6470862,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-tout-inclus-septembre-montreal-nord-secteur-ouest/1578516544
4093,Appartement,4 1/2,1,761,"8325 Ave Christophe-Colomb, Montreal, QC H2P, Canada",1 760,45.5496025,-73.62684,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appart-4-1-2-flambant-neuf-a-louer-a-villeray-avec-garage/1580129882
4094,Appartement,6 1/2,1,1 200,"2403 Rue Sainte-Catherine E, Montréal, QC H2K 2J7, Canada",2 150,45.5285064,-73.5470691,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/magnifique-6-1-2-a-5-minutes-du-metro-papineau/1580290959
4095,Appartement,4 1/2,1,900,"4290 Av. de Kent, Montréal, QC H3S 1N6, Canada",1 400,45.4974203,-73.6360673,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/cdn-appartement-meuble-tout-inclus/1581771411
4096,Appartement,3 1/2,1,650,"5643 Av. de l'Esplanade, Montréal, QC H2T 2Z9, Canada",1 466,45.5242075,-73.6022174,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/mile-end-renovated-1-bedroom-super-location/1581770270
4097,Appartement,6 1/2,1,1 050,"5071 3e Av, Montréal, QC H1Y 2W2, Canada",1 560,45.5453829,-73.5719488,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/6-1-2-2ch-1-bur-sdb-renovee-2-balcons-electro-rosemont/1581770101
4098,Appartement, 3 1/2 et coin détente,1,2 500,"5740 Boul Cavendish, Côte Saint-Luc, QC H4W 2T8, Canada",1 015,45.4750158,-73.6603994,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-for-rent/1581769704
4099,Appartement,3 1/2,1,745,"7404 Rue de Bordeaux, Montréal, QC H2E 2M7, Canada",Sur,45.5512901,-73.609196,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-3-ensoleille-rez-de-chaussee-villeray/1581768341
4100,Appartement,4 1/2,1,800,"5725 16eme Avenue, Montreal H1X 2S7 QC",1 150,45.5564395,-73.5764848,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/petite-patrie-promenade-masson-rosemont/1581766182
4101,Appartement,3 1/2,1,450,"Boul. Saint-Laurent, Montréal, QC, Canada",1 125,45.5092129,-73.5623668,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/plateau-loft-available-on-september-1st/1572960837
